path,status,backend,mode,wall_ms,solve_calls,result,m,trials,r,seed,file_bytes,aig_inputs,aig_ands,cone_inputs,cnf_vars,cnf_clauses
datasets/sample/bench_all\and_dominant_0020.bench,ok,varisat,exact,1,2,1,0,1,5,1,1605,2,6,2,7,14
datasets/sample/bench_all\and_dominant_0021.bench,ok,varisat,exact,1,9,8,0,1,5,1,2796,4,8,4,13,26
datasets/sample/bench_all\and_dominant_0022.bench,ok,varisat,exact,1,3,2,0,1,5,1,1986,3,5,3,9,17
datasets/sample/bench_all\and_dominant_0023.bench,ok,varisat,exact,0,2,1,0,1,5,1,1257,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0024.bench,ok,varisat,exact,0,5,4,0,1,5,1,936,3,4,3,8,14
datasets/sample/bench_all\and_dominant_0025.bench,ok,varisat,exact,0,8,7,0,1,5,1,1101,3,2,3,6,8
datasets/sample/bench_all\and_dominant_0026.bench,ok,varisat,exact,1,5,4,0,1,5,1,1902,3,4,3,8,14
datasets/sample/bench_all\and_dominant_0027.bench,ok,varisat,exact,1,2,1,0,1,5,1,2512,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0028.bench,ok,varisat,exact,0,2,1,0,1,5,1,963,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0029.bench,ok,varisat,exact,1,11,10,0,1,5,1,2041,5,6,5,12,20
datasets/sample/bench_all\and_dominant_0030.bench,ok,varisat,exact,1,2,1,0,1,5,1,2693,2,2,2,4,5
datasets/sample/bench_all\and_dominant_0031.bench,ok,varisat,exact,1,3,2,0,1,5,1,1401,2,3,2,6,11
datasets/sample/bench_all\and_dominant_0032.bench,ok,varisat,exact,1,5,4,0,1,5,1,2327,3,4,3,8,14
datasets/sample/bench_all\and_dominant_0033.bench,unsat,varisat,exact,1,1,0,0,1,5,1,1916,3,6,3,1,2
datasets/sample/bench_all\and_dominant_0034.bench,ok,varisat,exact,0,2,1,0,1,5,1,942,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0035.bench,ok,varisat,exact,0,2,1,0,1,5,1,1154,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0036.bench,ok,varisat,exact,1,5,4,0,1,5,1,1890,5,9,5,15,29
datasets/sample/bench_all\and_dominant_0037.bench,ok,varisat,exact,1,2,1,0,1,5,1,2410,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0038.bench,ok,varisat,exact,1,10,9,0,1,5,1,1193,4,3,4,8,11
datasets/sample/bench_all\and_dominant_0039.bench,ok,varisat,exact,1,5,4,0,1,5,1,2618,5,15,5,14,26
datasets/sample/bench_all\and_dominant_0040.bench,ok,varisat,exact,0,2,1,0,1,5,1,832,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0041.bench,ok,varisat,exact,1,2,1,0,1,5,1,2334,3,2,3,6,8
datasets/sample/bench_all\and_dominant_0042.bench,ok,varisat,exact,1,2,1,0,1,5,1,1529,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0043.bench,ok,varisat,exact,1,2,1,0,1,5,1,1787,3,2,3,6,8
datasets/sample/bench_all\and_dominant_0044.bench,ok,varisat,exact,0,4,3,0,1,5,1,1372,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0045.bench,ok,varisat,exact,0,2,1,0,1,5,1,842,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0046.bench,ok,varisat,exact,1,2,1,0,1,5,1,2518,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0047.bench,ok,varisat,exact,1,2,1,0,1,5,1,992,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0048.bench,ok,varisat,exact,1,14,13,0,1,5,1,2598,5,5,5,11,17
datasets/sample/bench_all\and_dominant_0049.bench,ok,varisat,exact,1,2,1,0,1,5,1,2566,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0050.bench,ok,varisat,exact,1,2,1,0,1,5,1,1898,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0051.bench,ok,varisat,exact,1,15,14,0,1,5,1,1444,5,11,5,17,35
datasets/sample/bench_all\and_dominant_0052.bench,ok,varisat,exact,1,7,6,0,1,5,1,2633,5,12,5,17,35
datasets/sample/bench_all\and_dominant_0053.bench,ok,varisat,exact,1,2,1,0,1,5,1,2193,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0054.bench,ok,varisat,exact,0,2,1,0,1,5,1,1136,3,2,3,6,8
datasets/sample/bench_all\and_dominant_0055.bench,ok,varisat,exact,1,6,5,0,1,5,1,2538,3,5,3,9,17
datasets/sample/bench_all\and_dominant_0056.bench,ok,varisat,exact,1,2,1,0,1,5,1,2699,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0057.bench,ok,varisat,exact,1,2,1,0,1,5,1,1499,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0058.bench,ok,varisat,exact,1,2,1,0,1,5,1,1277,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0059.bench,ok,varisat,exact,0,2,1,0,1,5,1,998,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0060.bench,ok,varisat,exact,0,4,3,0,1,5,1,907,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0061.bench,ok,varisat,exact,1,9,8,0,1,5,1,1623,4,9,4,14,29
datasets/sample/bench_all\and_dominant_0062.bench,ok,varisat,exact,1,2,1,0,1,5,1,1885,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0063.bench,ok,varisat,exact,2,2,1,0,1,5,1,2049,5,6,5,12,20
datasets/sample/bench_all\and_dominant_0064.bench,ok,varisat,exact,1,5,4,0,1,5,1,1174,4,8,4,13,26
datasets/sample/bench_all\and_dominant_0065.bench,ok,varisat,exact,1,2,1,0,1,5,1,2463,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0066.bench,ok,varisat,exact,1,2,1,0,1,5,1,1876,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0067.bench,ok,varisat,exact,0,2,1,0,1,5,1,1316,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0068.bench,ok,varisat,exact,0,3,2,0,1,5,1,921,3,4,3,8,14
datasets/sample/bench_all\and_dominant_0069.bench,ok,varisat,exact,1,2,1,0,1,5,1,1127,3,6,3,9,17
datasets/sample/bench_all\and_dominant_0070.bench,ok,varisat,exact,1,8,7,0,1,5,1,1222,3,2,3,6,8
datasets/sample/bench_all\and_dominant_0071.bench,ok,varisat,exact,1,2,1,0,1,5,1,1554,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0072.bench,ok,varisat,exact,2,20,19,0,1,5,1,2686,5,8,5,14,26
datasets/sample/bench_all\and_dominant_0073.bench,ok,varisat,exact,1,2,1,0,1,5,1,2045,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0074.bench,ok,varisat,exact,1,11,10,0,1,5,1,1088,4,5,4,10,17
datasets/sample/bench_all\and_dominant_0075.bench,ok,varisat,exact,0,2,1,0,1,5,1,952,3,2,3,6,8
datasets/sample/bench_all\and_dominant_0076.bench,ok,varisat,exact,0,3,2,0,1,5,1,1280,2,3,2,6,11
datasets/sample/bench_all\and_dominant_0077.bench,ok,varisat,exact,1,2,1,0,1,5,1,1495,3,2,3,6,8
datasets/sample/bench_all\and_dominant_0078.bench,ok,varisat,exact,1,2,1,0,1,5,1,1212,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0079.bench,ok,varisat,exact,1,17,16,0,1,5,1,1461,5,7,5,12,20
datasets/sample/bench_all\and_dominant_0080.bench,ok,varisat,exact,1,16,15,0,1,5,1,2545,4,3,4,8,11
datasets/sample/bench_all\and_dominant_0081.bench,ok,varisat,exact,0,2,1,0,1,5,1,913,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0082.bench,ok,varisat,exact,1,2,1,0,1,5,1,2183,6,12,6,18,35
datasets/sample/bench_all\and_dominant_0083.bench,ok,varisat,exact,0,2,1,0,1,5,1,1142,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0084.bench,unsat,varisat,exact,1,1,0,0,1,5,1,2214,3,4,3,8,14
datasets/sample/bench_all\and_dominant_0085.bench,ok,varisat,exact,1,2,1,0,1,5,1,1170,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0086.bench,ok,varisat,exact,1,3,2,0,1,5,1,2221,2,3,2,6,11
datasets/sample/bench_all\and_dominant_0087.bench,ok,varisat,exact,0,4,3,0,1,5,1,919,2,2,2,5,8
datasets/sample/bench_all\and_dominant_0088.bench,ok,varisat,exact,1,3,2,0,1,5,1,1937,4,5,4,10,17
datasets/sample/bench_all\and_dominant_0089.bench,ok,varisat,exact,1,2,1,0,1,5,1,1827,4,3,4,8,11
datasets/sample/bench_all\and_dominant_0090.bench,ok,varisat,exact,0,2,1,0,1,5,1,1937,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0091.bench,ok,varisat,exact,1,2,1,0,1,5,1,1517,4,4,4,9,14
datasets/sample/bench_all\and_dominant_0092.bench,ok,varisat,exact,0,4,3,0,1,5,1,1356,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0093.bench,ok,varisat,exact,1,2,1,0,1,5,1,2242,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0094.bench,ok,varisat,exact,0,2,1,0,1,5,1,823,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0095.bench,ok,varisat,exact,1,2,1,0,1,5,1,1393,3,2,3,6,8
datasets/sample/bench_all\and_dominant_0096.bench,ok,varisat,exact,1,2,1,0,1,5,1,2299,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0097.bench,ok,varisat,exact,1,4,3,0,1,5,1,1909,3,3,3,6,8
datasets/sample/bench_all\and_dominant_0098.bench,ok,varisat,exact,0,2,1,0,1,5,1,1642,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0099.bench,ok,varisat,exact,1,6,5,0,1,5,1,1810,3,5,3,9,17
datasets/sample/bench_all\and_dominant_0100.bench,ok,varisat,exact,0,2,1,0,1,5,1,926,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0101.bench,ok,varisat,exact,0,2,1,0,1,5,1,1143,5,10,5,6,8
datasets/sample/bench_all\and_dominant_0102.bench,ok,varisat,exact,1,15,14,0,1,5,1,2816,4,8,4,13,26
datasets/sample/bench_all\and_dominant_0103.bench,ok,varisat,exact,1,9,8,0,1,5,1,2224,4,9,4,14,29
datasets/sample/bench_all\and_dominant_0104.bench,ok,varisat,exact,0,5,4,0,1,5,1,885,3,6,3,10,20
datasets/sample/bench_all\and_dominant_0105.bench,ok,varisat,exact,0,2,1,0,1,5,1,1442,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0106.bench,ok,varisat,exact,0,2,1,0,1,5,1,927,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0107.bench,ok,varisat,exact,1,4,3,0,1,5,1,2032,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0108.bench,ok,varisat,exact,0,2,1,0,1,5,1,1552,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0109.bench,ok,varisat,exact,0,2,1,0,1,5,1,1288,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0110.bench,ok,varisat,exact,1,4,3,0,1,5,1,2394,3,9,3,12,26
datasets/sample/bench_all\and_dominant_0111.bench,ok,varisat,exact,0,2,1,0,1,5,1,1589,1,0,1,2,2
datasets/sample/bench_all\and_dominant_0112.bench,ok,varisat,exact,0,2,1,0,1,5,1,897,3,3,3,7,11
datasets/sample/bench_all\and_dominant_0113.bench,ok,varisat,exact,1,7,6,0,1,5,1,2770,5,12,5,18,38
datasets/sample/bench_all\and_dominant_0114.bench,ok,varisat,exact,1,2,1,0,1,5,1,1878,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0115.bench,ok,varisat,exact,1,6,5,0,1,5,1,993,3,6,3,10,20
datasets/sample/bench_all\and_dominant_0116.bench,ok,varisat,exact,1,2,1,0,1,5,1,1410,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0117.bench,ok,varisat,exact,1,11,10,0,1,5,1,2663,4,4,4,9,14
datasets/sample/bench_all\and_dominant_0118.bench,ok,varisat,exact,1,4,3,0,1,5,1,2359,2,1,2,4,5
datasets/sample/bench_all\and_dominant_0119.bench,ok,varisat,exact,0,2,1,0,1,5,1,1511,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0000.bench,ok,varisat,exact,1,11,10,0,1,5,1,2603,4,5,4,10,17
datasets/sample/bench_all\mixed_control_0001.bench,ok,varisat,exact,0,2,1,0,1,5,1,1496,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0002.bench,ok,varisat,exact,2,25,24,0,1,5,1,1706,5,8,5,14,26
datasets/sample/bench_all\mixed_control_0003.bench,ok,varisat,exact,1,2,1,0,1,5,1,2062,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0004.bench,unsat,varisat,exact,1,1,0,0,1,5,1,2375,2,4,2,1,2
datasets/sample/bench_all\mixed_control_0005.bench,ok,varisat,exact,1,5,4,0,1,5,1,1503,3,5,3,9,17
datasets/sample/bench_all\mixed_control_0006.bench,ok,varisat,exact,0,2,1,0,1,5,1,1210,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0007.bench,ok,varisat,exact,0,3,2,0,1,5,1,1475,2,3,2,6,11
datasets/sample/bench_all\mixed_control_0008.bench,ok,varisat,exact,1,2,1,0,1,5,1,2058,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0009.bench,ok,varisat,exact,1,2,1,0,1,5,1,2168,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0010.bench,ok,varisat,exact,1,3,2,0,1,5,1,1841,2,3,2,6,11
datasets/sample/bench_all\mixed_control_0011.bench,ok,varisat,exact,1,2,1,0,1,5,1,1914,2,4,2,2,2
datasets/sample/bench_all\mixed_control_0012.bench,ok,varisat,exact,0,2,1,0,1,5,1,2020,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0013.bench,ok,varisat,exact,3,33,32,0,1,5,1,2138,6,14,6,21,44
datasets/sample/bench_all\mixed_control_0014.bench,ok,varisat,exact,1,3,2,0,1,5,1,1834,2,6,2,9,20
datasets/sample/bench_all\mixed_control_0015.bench,ok,varisat,exact,1,3,2,0,1,5,1,2291,2,6,2,9,20
datasets/sample/bench_all\mixed_control_0016.bench,ok,varisat,exact,0,2,1,0,1,5,1,891,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0017.bench,ok,varisat,exact,1,5,4,0,1,5,1,2495,3,4,3,8,14
datasets/sample/bench_all\mixed_control_0018.bench,ok,varisat,exact,1,3,2,0,1,5,1,2403,2,3,2,6,11
datasets/sample/bench_all\mixed_control_0019.bench,ok,varisat,exact,1,4,3,0,1,5,1,1494,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0020.bench,ok,varisat,exact,1,5,4,0,1,5,1,2598,3,4,3,8,14
datasets/sample/bench_all\mixed_control_0021.bench,ok,varisat,exact,1,4,3,0,1,5,1,1956,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0022.bench,ok,varisat,exact,0,2,1,0,1,5,1,952,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0023.bench,ok,varisat,exact,1,4,3,0,1,5,1,1428,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0024.bench,ok,varisat,exact,0,2,1,0,1,5,1,901,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0025.bench,ok,varisat,exact,1,2,1,0,1,5,1,1780,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0026.bench,ok,varisat,exact,1,8,7,0,1,5,1,2344,4,7,4,12,23
datasets/sample/bench_all\mixed_control_0027.bench,ok,varisat,exact,1,9,8,0,1,5,1,1928,4,8,4,13,26
datasets/sample/bench_all\mixed_control_0028.bench,ok,varisat,exact,0,8,7,0,1,5,1,881,3,2,3,6,8
datasets/sample/bench_all\mixed_control_0029.bench,ok,varisat,exact,1,2,1,0,1,5,1,1416,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0030.bench,ok,varisat,exact,1,2,1,0,1,5,1,2104,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0031.bench,ok,varisat,exact,1,2,1,0,1,5,1,1039,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0032.bench,ok,varisat,exact,1,2,1,0,1,5,1,2189,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0033.bench,ok,varisat,exact,1,2,1,0,1,5,1,2118,2,2,2,4,5
datasets/sample/bench_all\mixed_control_0034.bench,ok,varisat,exact,0,2,1,0,1,5,1,1006,1,3,1,1,2
datasets/sample/bench_all\mixed_control_0035.bench,ok,varisat,exact,1,3,2,0,1,5,1,2109,2,6,2,9,20
datasets/sample/bench_all\mixed_control_0036.bench,ok,varisat,exact,0,2,1,0,1,5,1,1088,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0037.bench,ok,varisat,exact,1,5,4,0,1,5,1,1795,3,7,3,10,20
datasets/sample/bench_all\mixed_control_0038.bench,ok,varisat,exact,1,2,1,0,1,5,1,2541,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0039.bench,ok,varisat,exact,1,7,6,0,1,5,1,2391,4,5,4,10,17
datasets/sample/bench_all\mixed_control_0040.bench,ok,varisat,exact,1,2,1,0,1,5,1,2630,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0041.bench,ok,varisat,exact,1,9,8,0,1,5,1,2614,4,7,4,12,23
datasets/sample/bench_all\mixed_control_0042.bench,ok,varisat,exact,2,2,1,0,1,5,1,2306,2,2,2,1,2
datasets/sample/bench_all\mixed_control_0043.bench,ok,varisat,exact,1,9,8,0,1,5,1,1451,4,7,4,12,23
datasets/sample/bench_all\mixed_control_0044.bench,ok,varisat,exact,0,3,2,0,1,5,1,955,3,4,3,8,14
datasets/sample/bench_all\mixed_control_0045.bench,ok,varisat,exact,0,2,1,0,1,5,1,1219,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0046.bench,ok,varisat,exact,0,2,1,0,1,5,1,1040,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0047.bench,ok,varisat,exact,0,2,1,0,1,5,1,1474,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0048.bench,unsat,varisat,exact,1,1,0,0,1,5,1,2386,3,10,3,1,2
datasets/sample/bench_all\mixed_control_0049.bench,ok,varisat,exact,1,5,4,0,1,5,1,1746,3,6,3,10,20
datasets/sample/bench_all\mixed_control_0050.bench,ok,varisat,exact,0,2,1,0,1,5,1,1713,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0051.bench,ok,varisat,exact,1,6,5,0,1,5,1,1850,3,2,3,6,8
datasets/sample/bench_all\mixed_control_0052.bench,ok,varisat,exact,1,2,1,0,1,5,1,1833,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0053.bench,ok,varisat,exact,0,2,1,0,1,5,1,1261,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0054.bench,ok,varisat,exact,0,2,1,0,1,5,1,847,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0055.bench,ok,varisat,exact,1,2,1,0,1,5,1,2437,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0056.bench,ok,varisat,exact,1,2,1,0,1,5,1,1996,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0057.bench,ok,varisat,exact,1,8,7,0,1,5,1,2420,3,5,3,9,17
datasets/sample/bench_all\mixed_control_0058.bench,ok,varisat,exact,1,8,7,0,1,5,1,1078,3,2,3,6,8
datasets/sample/bench_all\mixed_control_0059.bench,ok,varisat,exact,0,2,1,0,1,5,1,1460,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0060.bench,ok,varisat,exact,1,2,1,0,1,5,1,1981,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0061.bench,ok,varisat,exact,1,2,1,0,1,5,1,2474,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0062.bench,ok,varisat,exact,1,4,3,0,1,5,1,2525,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0063.bench,ok,varisat,exact,1,16,15,0,1,5,1,2344,4,3,4,8,11
datasets/sample/bench_all\mixed_control_0064.bench,ok,varisat,exact,1,2,1,0,1,5,1,2161,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0065.bench,ok,varisat,exact,0,3,2,0,1,5,1,885,2,3,2,6,11
datasets/sample/bench_all\mixed_control_0066.bench,ok,varisat,exact,1,2,1,0,1,5,1,2239,1,1,1,1,2
datasets/sample/bench_all\mixed_control_0067.bench,ok,varisat,exact,2,33,32,0,1,5,1,2508,5,14,5,20,44
datasets/sample/bench_all\mixed_control_0068.bench,ok,varisat,exact,1,4,3,0,1,5,1,1956,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0069.bench,ok,varisat,exact,1,2,1,0,1,5,1,1700,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0070.bench,ok,varisat,exact,1,2,1,0,1,5,1,1937,1,1,1,2,2
datasets/sample/bench_all\mixed_control_0071.bench,ok,varisat,exact,1,2,1,0,1,5,1,1595,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0072.bench,ok,varisat,exact,1,8,7,0,1,5,1,2424,4,3,4,8,11
datasets/sample/bench_all\mixed_control_0073.bench,ok,varisat,exact,1,2,1,0,1,5,1,2343,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0074.bench,ok,varisat,exact,0,4,3,0,1,5,1,1376,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0075.bench,ok,varisat,exact,1,3,2,0,1,5,1,1964,2,3,2,6,11
datasets/sample/bench_all\mixed_control_0076.bench,ok,varisat,exact,0,2,1,0,1,5,1,1918,1,1,1,2,2
datasets/sample/bench_all\mixed_control_0077.bench,ok,varisat,exact,0,2,1,0,1,5,1,871,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0078.bench,ok,varisat,exact,0,2,1,0,1,5,1,956,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0079.bench,ok,varisat,exact,1,2,1,0,1,5,1,1854,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0080.bench,ok,varisat,exact,0,2,1,0,1,5,1,1777,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0081.bench,ok,varisat,exact,1,4,3,0,1,5,1,1773,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0082.bench,ok,varisat,exact,1,4,3,0,1,5,1,2257,2,2,2,5,8
datasets/sample/bench_all\mixed_control_0083.bench,ok,varisat,exact,1,2,1,0,1,5,1,2512,3,2,3,6,8
datasets/sample/bench_all\mixed_control_0084.bench,unsat,varisat,exact,0,1,0,0,1,5,1,880,3,4,3,8,14
datasets/sample/bench_all\mixed_control_0085.bench,ok,varisat,exact,0,2,1,0,1,5,1,859,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0086.bench,ok,varisat,exact,1,5,4,0,1,5,1,1764,4,7,4,12,23
datasets/sample/bench_all\mixed_control_0087.bench,ok,varisat,exact,0,2,1,0,1,5,1,1601,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0088.bench,ok,varisat,exact,1,2,1,0,1,5,1,2286,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0089.bench,ok,varisat,exact,1,3,2,0,1,5,1,1624,3,6,3,10,20
datasets/sample/bench_all\mixed_control_0090.bench,ok,varisat,exact,3,29,28,0,1,5,1,2036,6,16,6,23,50
datasets/sample/bench_all\mixed_control_0091.bench,ok,varisat,exact,0,2,1,0,1,5,1,1231,2,3,2,4,5
datasets/sample/bench_all\mixed_control_0092.bench,ok,varisat,exact,1,2,1,0,1,5,1,1386,2,1,2,4,5
datasets/sample/bench_all\mixed_control_0093.bench,ok,varisat,exact,1,8,7,0,1,5,1,2553,3,5,3,9,17
datasets/sample/bench_all\mixed_control_0094.bench,ok,varisat,exact,1,6,5,0,1,5,1,1473,4,3,4,8,11
datasets/sample/bench_all\mixed_control_0095.bench,ok,varisat,exact,0,2,1,0,1,5,1,1199,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0096.bench,ok,varisat,exact,0,2,1,0,1,5,1,849,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0097.bench,ok,varisat,exact,0,2,1,0,1,5,1,1599,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0098.bench,ok,varisat,exact,1,7,6,0,1,5,1,2166,3,4,3,8,14
datasets/sample/bench_all\mixed_control_0099.bench,ok,varisat,exact,1,2,1,0,1,5,1,2782,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0100.bench,ok,varisat,exact,0,2,1,0,1,5,1,1152,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0101.bench,unsat,varisat,exact,1,1,0,0,1,5,1,2012,2,4,2,1,2
datasets/sample/bench_all\mixed_control_0102.bench,ok,varisat,exact,1,2,1,0,1,5,1,2536,3,8,3,1,2
datasets/sample/bench_all\mixed_control_0103.bench,ok,varisat,exact,1,3,2,0,1,5,1,2799,2,3,2,6,11
datasets/sample/bench_all\mixed_control_0104.bench,ok,varisat,exact,1,3,2,0,1,5,1,1696,2,6,2,9,20
datasets/sample/bench_all\mixed_control_0105.bench,ok,varisat,exact,0,2,1,0,1,5,1,1411,1,0,1,2,2
datasets/sample/bench_all\mixed_control_0106.bench,ok,varisat,exact,1,9,8,0,1,5,1,2680,4,12,4,16,35
